,date,ML,Low,High
Dallas,2020-03-10,2.0,0.34,6.43
Dallas,2020-03-11,1.8,0.38,4.45
Dallas,2020-03-12,1.69,0.37,3.85
Dallas,2020-03-13,1.83,0.46,3.79
Dallas,2020-03-14,1.7,0.48,3.44
Dallas,2020-03-15,1.77,0.55,3.36
Dallas,2020-03-16,2.06,0.78,3.5100000000000002
Dallas,2020-03-17,2.06,0.59,3.41
Dallas,2020-03-18,2.15,0.89,3.38
Dallas,2020-03-19,2.2,1.12,3.27
Dallas,2020-03-20,2.09,1.1500000000000001,3.02
Dallas,2020-03-21,1.95,1.11,2.77
Dallas,2020-03-22,1.9100000000000001,1.16,2.64
Dallas,2020-03-23,1.83,1.17,2.5100000000000002
Dallas,2020-03-24,1.83,1.24,2.45
Dallas,2020-03-25,1.78,1.23,2.32
Dallas,2020-03-26,1.7,1.2,2.2
Dallas,2020-03-27,1.6,1.1400000000000001,2.07
Dallas,2020-03-28,1.54,1.12,1.99
Dallas,2020-03-29,1.45,1.04,1.86
Dallas,2020-03-30,1.4000000000000001,1.01,1.79
Dallas,2020-03-31,1.36,0.99,1.74
Dallas,2020-04-01,1.32,0.97,1.69
Dallas,2020-04-02,1.29,0.9400000000000001,1.6300000000000001
Dallas,2020-04-03,1.23,0.89,1.56
Dallas,2020-04-04,1.18,0.86,1.52
Dallas,2020-04-05,1.12,0.81,1.46
Dallas,2020-04-06,1.07,0.74,1.3800000000000001
Dallas,2020-04-07,1.03,0.72,1.36
Dallas,2020-04-08,1.01,0.7000000000000001,1.34
Dallas,2020-04-09,1.0,0.6900000000000001,1.33
Dallas,2020-04-10,1.02,0.71,1.35
Dallas,2020-04-11,1.02,0.71,1.35
Dallas,2020-04-12,1.05,0.73,1.36
Dallas,2020-04-13,1.03,0.72,1.35
Dallas,2020-04-14,1.03,0.73,1.36
Dallas,2020-04-15,1.05,0.73,1.35
Dallas,2020-04-16,1.07,0.77,1.3900000000000001
Dallas,2020-04-17,1.08,0.78,1.3900000000000001
Dallas,2020-04-18,1.09,0.8,1.41
Dallas,2020-04-19,1.07,0.78,1.3800000000000001
Dallas,2020-04-20,1.06,0.78,1.3800000000000001
Dallas,2020-04-21,1.0,0.71,1.31
Dallas,2020-04-22,0.93,0.63,1.23
Dallas,2020-04-23,0.87,0.5700000000000001,1.18
Dallas,2020-04-24,0.8,0.5,1.1300000000000001
Dallas,2020-04-25,0.8300000000000001,0.52,1.16
Dallas,2020-04-26,0.91,0.6,1.25
Dallas,2020-04-27,1.05,0.73,1.37
Dallas,2020-04-28,1.24,0.92,1.54
Dallas,2020-04-29,1.37,1.09,1.69
Dallas,2020-04-30,1.45,1.17,1.73
Dallas,2020-05-01,1.53,1.27,1.8
Dallas,2020-05-02,1.49,1.25,1.75
Dallas,2020-05-03,1.48,1.25,1.72
Dallas,2020-05-04,1.42,1.19,1.6300000000000001
Dallas,2020-05-05,1.35,1.1400000000000001,1.57
Dallas,2020-05-06,1.28,1.08,1.49
Dallas,2020-05-07,1.22,1.02,1.42
Dallas,2020-05-08,1.16,0.96,1.35
Dallas,2020-05-09,1.12,0.93,1.32
Dallas,2020-05-10,1.07,0.88,1.26
Dallas,2020-05-11,1.03,0.85,1.23
Dallas,2020-05-12,1.0,0.81,1.19
Dallas,2020-05-13,0.97,0.78,1.16
Dallas,2020-05-14,0.9500000000000001,0.76,1.1500000000000001
Dallas,2020-05-15,0.93,0.74,1.1300000000000001
Dallas,2020-05-16,0.92,0.72,1.11
Dallas,2020-05-17,0.88,0.6900000000000001,1.09
Dallas,2020-05-18,0.88,0.68,1.09
Dallas,2020-05-19,0.88,0.68,1.09
Dallas,2020-05-20,0.9,0.7000000000000001,1.12
Dallas,2020-05-21,0.92,0.72,1.1400000000000001
Dallas,2020-05-22,0.9400000000000001,0.72,1.1400000000000001
Dallas,2020-05-23,0.9400000000000001,0.73,1.16
Dallas,2020-05-24,0.99,0.78,1.21
Dallas,2020-05-25,0.96,0.75,1.18
Dallas,2020-05-26,0.97,0.76,1.19
Dallas,2020-05-27,0.99,0.78,1.21
Dallas,2020-05-28,1.01,0.79,1.22
Dallas,2020-05-29,1.03,0.8200000000000001,1.25
Dallas,2020-05-30,1.07,0.86,1.29
Dallas,2020-05-31,1.09,0.88,1.3
Dallas,2020-06-01,1.1400000000000001,0.93,1.34
Dallas,2020-06-02,1.16,0.97,1.3800000000000001
Dallas,2020-06-03,1.17,0.98,1.3800000000000001
Dallas,2020-06-04,1.17,0.98,1.37
Dallas,2020-06-05,1.16,0.97,1.35
Dallas,2020-06-06,1.1400000000000001,0.96,1.34
Dallas,2020-06-07,1.12,0.9400000000000001,1.31
Dallas,2020-06-08,1.1,0.92,1.29
Dallas,2020-06-09,1.09,0.91,1.27
Dallas,2020-06-10,1.08,0.91,1.27
Dallas,2020-06-11,1.08,0.9,1.25
Dallas,2020-06-12,1.08,0.91,1.26
Dallas,2020-06-13,1.08,0.91,1.26
Dallas,2020-06-14,1.03,0.86,1.21
Dallas,2020-06-15,1.05,0.87,1.21
Dallas,2020-06-16,1.06,0.89,1.23
Dallas,2020-06-17,1.09,0.93,1.27
Dallas,2020-06-18,1.1400000000000001,0.98,1.31
Dallas,2020-06-19,1.18,1.01,1.33
Dallas,2020-06-20,1.19,1.04,1.36
Dallas,2020-06-21,1.23,1.08,1.3900000000000001
Dallas,2020-06-22,1.17,1.02,1.32
Dallas,2020-06-23,1.1500000000000001,1.01,1.31
Dallas,2020-06-24,1.12,0.97,1.26
Dallas,2020-06-25,1.04,0.9,1.19
Dallas,2020-06-26,1.04,0.9,1.19
Dallas,2020-06-27,1.07,0.93,1.22
Dallas,2020-06-28,1.12,0.97,1.25
Dallas,2020-06-29,1.21,1.08,1.36
Dallas,2020-06-30,1.27,1.1400000000000001,1.41
Dallas,2020-07-01,1.32,1.19,1.45
Dallas,2020-07-02,1.41,1.29,1.53
Dallas,2020-07-03,1.41,1.29,1.52
Dallas,2020-07-04,1.42,1.31,1.53
Dallas,2020-07-05,1.3900000000000001,1.29,1.5
Dallas,2020-07-06,1.34,1.24,1.44
Dallas,2020-07-07,1.28,1.18,1.3800000000000001
Dallas,2020-07-08,1.22,1.1300000000000001,1.32
Dallas,2020-07-09,1.16,1.07,1.26
Dallas,2020-07-10,1.11,1.02,1.2
Dallas,2020-07-11,1.06,0.97,1.1500000000000001
Dallas,2020-07-12,0.98,0.89,1.07
Dallas,2020-07-13,0.92,0.8200000000000001,1.0
Dallas,2020-07-14,0.91,0.8200000000000001,1.01
Dallas,2020-07-15,0.93,0.8300000000000001,1.02
Dallas,2020-07-16,0.93,0.8300000000000001,1.02
Dallas,2020-07-17,0.98,0.88,1.07
Dallas,2020-07-18,0.99,0.89,1.08
Dallas,2020-07-19,1.02,0.93,1.12
Dallas,2020-07-20,1.01,0.92,1.11
Dallas,2020-07-21,0.91,0.81,1.0
Dallas,2020-07-22,0.87,0.77,0.96
Dallas,2020-07-23,0.86,0.77,0.97
Dallas,2020-07-24,0.77,0.67,0.87
Dallas,2020-07-25,0.79,0.6900000000000001,0.9
Dallas,2020-07-26,0.8200000000000001,0.71,0.92
Dallas,2020-07-27,0.86,0.75,0.97
Dallas,2020-07-28,0.97,0.86,1.08
Dallas,2020-07-29,0.92,0.81,1.03
Dallas,2020-07-30,0.9,0.78,1.0
Dallas,2020-07-31,0.91,0.8,1.03
Dallas,2020-08-01,0.8300000000000001,0.71,0.9400000000000001
Dallas,2020-08-02,0.77,0.66,0.9
Dallas,2020-08-03,0.75,0.62,0.86
Dallas,2020-08-04,0.73,0.6,0.85
Dallas,2020-08-05,0.78,0.66,0.92
